Locus tag,Locus,log_fc,pvalue
Rv0815c,cysA2,-0.32067600653380607,0.2199
Rv3117,cysA3,-0.32067600653380607,0.2199
Rv3881c,espB,-0.31993648504276095,0.0986
Rv2609c,,-0.3197184221611844,0.1989
Rv3803c,fbpD,-0.31937747225048735,0.1139
Rv3328c,sigJ,-0.31912988586026797,0.1882
Rv1317c,alkA,-0.3172588131957626,0.1222
Rv0642c,mmaA4,-0.3164056875783371,0.0616
Rv0243,fadA2,-0.31551415808854977,0.0602
Rv3411c,guaB2,-0.3153990433829475,0.0509
Rv2764c,thyA,-0.31484685857003997,0.2877
Rv0117,oxyS,-0.31383797796502566,0.0143
Rv2150c,ftsZ,-0.3129947057434204,0.1899
Rv1427c,fadD12,-0.3125777087794854,0.1609
Rv1279,,-0.31188806978470746,0.0385
Rv1095,phoH2,-0.31181767362327223,0.1882
Rv1731,gabD2,-0.3109534770568046,0.142
Rv1866,,-0.3109093966604372,0.0023
Rv1321,,-0.310658796157605,0.1371
Rv3562,fadE31,-0.3106095013915429,0.2372
Rv1659,argH,-0.31053970030087064,0.0281
Rv1251c,,-0.31007838219664385,0.1246
Rv3574,kstR,-0.308926302589414,0.1578
Rv3276c,purK,-0.30866524833126957,0.0677
Rv1993c,,-0.3084610375075575,0.2551
Rv0752c,fadE9,-0.3084340377682645,0.1262
Rv0287,esxG,-0.3075032141406141,0.4877
Rv0669c,,-0.30743815503949545,0.1698
Rv0940c,,-0.3067155337907512,0.0241
Rv1493,mutB,-0.3061644154336256,0.0166
Rv1001,arcA,-0.30611452809429723,0.0705
Rv1680,,-0.30573923292096145,0.0365
Rv2894c,xerC,-0.3056658396996831,0.2917
Rv0635,hadA,-0.3053737508632245,0.016
Rv1235,lpqY,-0.3050327721661702,0.1668
Rv2101,helZ,-0.30501732852950114,0.2163
Rv1121,zwf1,-0.3032837368844151,0.1267
Rv1110,lytB2,-0.3032230586409109,0.2023
Rv2243,fabD,-0.3031866902505383,0.105
Rv2908c,,-0.30298994769365495,0.203
Rv1255c,,-0.3027794693167177,0.1915
Rv1161,narG,-0.30238645591060875,0.1713
Rv3455c,truA,-0.30236778793618124,0.1744
Rv3661,,-0.3020411534489272,0.1274
Rv3720,,-0.30182251970391116,0.1896
Rv2988c,leuC,-0.3013712865814202,0.3741
Rv0419,lpqM,-0.3011090935477101,0.3314
Rv3254,,-0.300192955224006,0.3701
Rv0772,purD,-0.2999912819404474,0.1266
Rv1142c,echA10,-0.29935960141849727,0.1254
Rv0995,rimJ,-0.2991514922860818,0.2465
Rv2509,,-0.2991161552244437,0.193
Rv2111c,pup,-0.2986105236595391,0.1522
Rv3256c,,-0.2984091854534787,0.1642
Rv0347,,-0.29789599635033304,0.0033
Rv3775,lipE,-0.2975542456814256,0.0641
Rv2276,cyp121,-0.29709298072642903,0.3265
Rv1556,,-0.2966779642278941,0.1592
Rv3573c,fadE34,-0.2962017114917598,0.0106
Rv3196A,,-0.2960189200058674,0.3834
Rv1730c,,-0.2953588328747188,0.255
Rv3575c,,-0.2953096244620939,0.1212
Rv3119,moaE1,-0.29501865936485405,0.0729
Rv1286,,-0.2945105356042799,0.0151
Rv1310,atpD,-0.29412079915673495,0.1444
Rv1728c,,-0.2940324431465935,0.3924
Rv3677c,,-0.2932240428852717,0.3154
Rv2155c,murD,-0.2928424538742618,0.0224
Rv1978,,-0.2926666466348477,0.1016
Rv3293,pcd,-0.2911275874856062,0.0304
Rv2065,cobH,-0.2911198985292856,0.1787
Rv0430,,-0.2907629530191248,0.3355
Rv2870c,dxr,-0.290698972478695,0.2398
Rv3057c,,-0.2904225923919724,0.2399
Rv0734,mapA,-0.28989916874712424,0.1102
Rv1429,,-0.2886308601612508,0.0809
Rv1008,tatD,-0.2876846236089436,0.0683
Rv1242,vapC33,-0.28698290282318173,0.0043
Rv0465c,,-0.2866343266074364,0.2031
Rv1108c,xseA,-0.2865073376250872,0.0151
Rv2082,,-0.28606600748556504,0.1553
Rv3489,,-0.28599555427710427,0.2229
Rv3614c,espD,-0.285723496053891,0.1339
Rv1562c,treZ,-0.2850765232718223,0.2094
Rv3915,,-0.2850423538218971,0.2517
Rv1990c,,-0.28450130839003057,0.1876
Rv2447c,folC,-0.2844073736430395,0.1485
Rv2175c,,-0.28385489519393825,0.2312
Rv0006,gyrA,-0.2834450765112625,0.2892
Rv3502c,,-0.2831034370295829,0.2661
Rv2714,,-0.2828648705238049,0.1974
Rv1869c,,-0.2827539486930374,0.1971
Rv2795c,,-0.28268223753527516,0.0745
Rv2289,cdh,-0.2826814776439143,0.4305
Rv2667,clpC2,-0.2819390941507168,0.2137
Rv2097c,pafA,-0.28152691491745296,0.0536
Rv3089,fadD13,-0.2810424181669226,0.0037
Rv3223c,sigH,-0.2801640929021587,0.1562
Rv1750c,fadD1,-0.28000651986776814,0.0025
Rv3565,aspB,-0.2796897725692363,0.0592
Rv1652,argC,-0.27947381724487175,0.226
Rv2989,,-0.2784722608592424,0.3917
Rv3042c,serB2,-0.27817188389357284,0.2396
Rv0271c,fadE6,-0.27798330272336974,0.0074
Rv2420c,,-0.2776089367281244,0.0513
Rv3257c,pmmA,-0.2770748918306213,0.2301
Rv0231,fadE4,-0.27683100541587596,0.0064
Rv0149,,-0.2766727234302309,0.0772
Rv3853,rraA,-0.2760655561298567,0.0453
Rv1872c,lldD2,-0.27602532899891236,0.2162
Rv1213,glgC,-0.2743364493471857,0.0999
Rv3079c,,-0.27428186217877304,0.0331
Rv3594,,-0.2734849471253528,0.4832
Rv3762c,,-0.2726871664894669,0.0188
Rv3543c,fadE29,-0.27133736504702505,0.251
Rv0502,,-0.2710365902102668,0.3123
Rv1178,,-0.2689533535821825,0.2575
Rv2225,panB,-0.2683963787204243,0.0845
Rv2780,ald,-0.2683284355451882,0.0054
Rv0825c,,-0.2672189783143414,0.2977
Rv0799c,,-0.26696967795914206,0.1332
Rv1823,,-0.2668220841474627,0.5118
Rv3504,fadE26,-0.2667044688989321,0.2959
Rv3587c,,-0.2666718904753574,0.3041
Rv1366,,-0.2665527772627793,0.3974
Rv3772,hisC2,-0.26618182566747506,0.2224
Rv1501,,-0.2651289139404307,0.0319
Rv2802c,,-0.26438310274091437,0.1593
Rv0565c,,-0.2638690212273318,0.0691
Rv2837c,,-0.2638376224809323,0.2277
Rv2681,,-0.2631422850928988,0.0335
Rv1524,,-0.26284632226128457,0.0733
Rv0140,,-0.2627703193421949,0.2756
Rv2152c,murC,-0.2623669644200672,0.0107
Rv1709,scpA,-0.26216583135821925,0.0208
Rv3808c,glfT2,-0.2613198371881962,0.283
Rv0462,lpdC,-0.26066119176318336,0.0976
